obstacle-1-dense.html:30 -	time	id	type	x	y
obstacle-1-dense.html:131 -	0	101	2	75.5	75.5
obstacle-1-dense.html:131 -	10	101	2	76.24603174603173	74.78571428571433
obstacle-1-dense.html:131 -	20	101	2	74.98019801980199	75.43564356435647
obstacle-1-dense.html:131 -	30	101	2	74.26368159203979	76.1144278606965
obstacle-1-dense.html:131 -	40	101	2	73.8811881188119	76.8366336633663
obstacle-1-dense.html:131 -	50	101	2	73.63184079601987	77.54726368159201
obstacle-1-dense.html:131 -	60	101	2	73.55721393034824	77.67164179104478
obstacle-1-dense.html:131 -	70	101	2	73.49253731343288	77.4776119402985
obstacle-1-dense.html:131 -	80	101	2	73.46268656716413	77.33333333333331
obstacle-1-dense.html:131 -	90	101	2	73.3781094527363	77.10447761194031
obstacle-1-dense.html:131 -	100	101	2	73.46268656716418	77.03980099502488
obstacle-1-dense.html:131 -	110	101	2	74.06467661691542	76.48258706467661
obstacle-1-dense.html:131 -	120	101	2	74.56435643564359	76.05940594059408
obstacle-1-dense.html:131 -	130	101	2	75.5148514851485	75.4950495049505
obstacle-1-dense.html:131 -	140	101	2	76.960396039604	75.06435643564352
obstacle-1-dense.html:131 -	150	101	2	77.82587064676613	74.79104477611946
obstacle-1-dense.html:131 -	160	101	2	77.98009950248755	74.64179104477618
obstacle-1-dense.html:131 -	170	101	2	77.88059701492543	74.78109452736325
obstacle-1-dense.html:131 -	180	101	2	77.80597014925367	74.85074626865674
obstacle-1-dense.html:131 -	190	101	2	77.75499999999994	74.79000000000006
obstacle-1-dense.html:131 -	200	101	2	77.63499999999998	74.75500000000007
obstacle-1-dense.html:131 -	210	101	2	77.56499999999998	74.63
obstacle-1-dense.html:131 -	220	101	2	77.38000000000004	74.57999999999996
obstacle-1-dense.html:131 -	230	101	2	76.59203980099504	74.63184079601994
obstacle-1-dense.html:131 -	240	101	2	76.41791044776124	74.56218905472636
obstacle-1-dense.html:131 -	250	101	2	76.43000000000004	74.50000000000004
obstacle-1-dense.html:131 -	260	101	2	75.95999999999998	74.67999999999998
obstacle-1-dense.html:131 -	270	101	2	75.32673267326727	76.08910891089111
obstacle-1-dense.html:131 -	280	101	2	74.95024875621893	77.00497512437809
obstacle-1-dense.html:131 -	290	101	2	74.4726368159204	78.27860696517413
obstacle-1-dense.html:131 -	300	101	2	74.20895522388061	78.87562189054724
obstacle-1-dense.html:131 -	310	101	2	74.24378109452736	79.48756218905474
obstacle-1-dense.html:131 -	320	101	2	74.27363184079603	79.45771144278608
obstacle-1-dense.html:131 -	330	101	2	74.54726368159209	79.28358208955225
obstacle-1-dense.html:131 -	340	101	2	74.45771144278612	78.69651741293524
obstacle-1-dense.html:131 -	350	101	2	74.62189054726367	78.636815920398
obstacle-1-dense.html:131 -	360	101	2	74.7313432835821	78.46766169154233
obstacle-1-dense.html:131 -	370	101	2	74.79601990049753	77.86069651741293
obstacle-1-dense.html:131 -	380	101	2	75.11940298507466	77.55223880597013
obstacle-1-dense.html:131 -	390	101	2	75.50248756218905	77.1492537313433
obstacle-1-dense.html:131 -	400	101	2	75.54726368159203	77.26865671641788
obstacle-1-dense.html:131 -	410	101	2	75.60696517412936	76.83582089552233
obstacle-1-dense.html:131 -	420	101	2	75.68159203980092	76.72636815920399
obstacle-1-dense.html:131 -	430	101	2	75.47761194029853	76.98507462686563
obstacle-1-dense.html:131 -	440	101	2	75.53499999999997	76.91499999999996
obstacle-1-dense.html:131 -	450	101	2	75.29999999999998	77.25999999999998
obstacle-1-dense.html:131 -	460	101	2	75.044776119403	77.05970149253734
obstacle-1-dense.html:131 -	470	101	2	75.02985074626866	76.90049751243784
obstacle-1-dense.html:131 -	480	101	2	75.24752475247523	77.42079207920794
obstacle-1-dense.html:131 -	490	101	2	75.89603960396042	78.33663366336633
obstacle-1-dense.html:131 -	500	101	2	75.985	78.975
obstacle-1-dense.html:131 -	510	101	2	75.82999999999997	78.96000000000005
obstacle-1-dense.html:131 -	520	101	2	75.58208955223886	78.64179104477614
obstacle-1-dense.html:131 -	530	101	2	75.02985074626868	77.71641791044777
obstacle-1-dense.html:131 -	540	101	2	75.05445544554453	77.76732673267324
obstacle-1-dense.html:131 -	550	101	2	74.89999999999996	77.62499999999991
obstacle-1-dense.html:131 -	560	101	2	74.50999999999999	77.84999999999998
obstacle-1-dense.html:131 -	570	101	2	74.37499999999996	77.43500000000002
obstacle-1-dense.html:131 -	580	101	2	73.9900497512438	76.60199004975125
obstacle-1-dense.html:131 -	590	101	2	73.25373134328358	76.05970149253736
obstacle-1-dense.html:131 -	600	101	2	73.25870646766167	76.21393034825876
obstacle-1-dense.html:131 -	610	101	2	73.46000000000001	76.21499999999999
obstacle-1-dense.html:131 -	620	101	2	73.38308457711442	76.0796019900497
obstacle-1-dense.html:131 -	630	101	2	73.75124378109452	75.47761194029849
obstacle-1-dense.html:131 -	640	101	2	73.88059701492543	75.07462686567163
obstacle-1-dense.html:131 -	650	101	2	73.85572139303484	74.63184079601986
obstacle-1-dense.html:131 -	660	101	2	73.98507462686563	74.68159203980099
obstacle-1-dense.html:131 -	670	101	2	73.95522388059702	75.01492537313428
obstacle-1-dense.html:131 -	680	101	2	74.54228855721392	74.93532338308465
obstacle-1-dense.html:131 -	690	101	2	74.99	74.76999999999997
obstacle-1-dense.html:131 -	700	101	2	76.46499999999999	74.23500000000001
obstacle-1-dense.html:131 -	710	101	2	76.84577114427857	73.99004975124382
obstacle-1-dense.html:131 -	720	101	2	77.2985074626866	73.83084577114421
obstacle-1-dense.html:131 -	730	101	2	77.46499999999997	73.76999999999997
obstacle-1-dense.html:131 -	740	101	2	77.00497512437813	73.84079601990054
obstacle-1-dense.html:131 -	750	101	2	76.67	73.84000000000002
obstacle-1-dense.html:131 -	760	101	2	76.46000000000004	73.98999999999997
obstacle-1-dense.html:131 -	770	101	2	76.24257425742574	74.0990099009901
obstacle-1-dense.html:131 -	780	101	2	75.87064676616913	74.40796019900502
obstacle-1-dense.html:131 -	790	101	2	75.64851485148515	75.16831683168317
obstacle-1-dense.html:131 -	800	101	2	75.76119402985074	75.9353233830846
obstacle-1-dense.html:131 -	810	101	2	75.69154228855722	76.17412935323384
obstacle-1-dense.html:131 -	820	101	2	75.81999999999996	75.9
obstacle-1-dense.html:131 -	830	101	2	75.77114427860693	75.74626865671642
obstacle-1-dense.html:131 -	840	101	2	75.42999999999998	75.60499999999999
obstacle-1-dense.html:131 -	850	101	2	74.71641791044776	75.49253731343286
obstacle-1-dense.html:131 -	860	101	2	73.69000000000003	75.00999999999998
obstacle-1-dense.html:131 -	870	101	2	72.44776119402985	74.60696517412931
obstacle-1-dense.html:131 -	880	101	2	71.80099502487565	74.48258706467664
obstacle-1-dense.html:131 -	890	101	2	71.18	74.22500000000002
obstacle-1-dense.html:131 -	900	101	2	71.2338308457712	74.28358208955233
obstacle-1-dense.html:131 -	910	101	2	71.4029850746269	74.42786069651741
obstacle-1-dense.html:131 -	920	101	2	71.25500000000004	74.39500000000001
obstacle-1-dense.html:131 -	930	101	2	71.16000000000004	74.43500000000002
obstacle-1-dense.html:131 -	940	101	2	70.93034825870647	74.39303482587069
obstacle-1-dense.html:131 -	950	101	2	71.21393034825876	74.34328358208957
obstacle-1-dense.html:131 -	960	101	2	71.29999999999998	74.205
obstacle-1-dense.html:131 -	970	101	2	71.26368159203976	74.10447761194033
obstacle-1-dense.html:131 -	980	101	2	71.36318407960196	74.15422885572136
obstacle-1-dense.html:131 -	990	101	2	71.38499999999999	74.25500000000002
