the-wall-black.html:30 -	time	id	type	x	y	below wall
the-wall-black.html:156 -	1000	19	2	22.756218905472632	11.527363184079597	false
the-wall-black.html:156 -	1000	20	2	144	36.56000000000003	false
the-wall-black.html:156 -	1000	21	2	25.99999999999999	64.32338308457713	false
the-wall-black.html:156 -	1000	22	2	122.95024875621891	43.62686567164178	false
the-wall-black.html:156 -	1000	23	2	73.87562189054728	7.059701492537313	false
the-wall-black.html:156 -	1000	24	2	139.5273631840796	9.084577114427857	false
the-wall-black.html:156 -	1000	25	2	6.741293532338307	28.25870646766168	false
the-wall-black.html:156 -	1000	26	2	58.07920792079207	46.51980198019801	false
the-wall-black.html:156 -	1000	27	2	75.59900990099013	51.96534653465346	false
the-wall-black.html:156 -	1000	28	2	136.80597014925377	47.05970149253732	false
the-wall-black.html:156 -	1000	29	2	96.74129353233832	51.32835820895521	false
the-wall-black.html:156 -	1000	30	2	55.02985074626863	24.49253731343283	false
the-wall-black.html:156 -	1000	31	2	108.08457711442783	45.93034825870646	false
the-wall-black.html:156 -	1000	32	2	39.90049751243784	58.00995024875623	false
the-wall-black.html:156 -	1000	33	2	116.53731343283586	56.004975124378106	false
the-wall-black.html:156 -	1000	34	2	112.30845771144278	4.134328358208956	false
the-wall-black.html:156 -	1000	35	2	74.86069651741296	74.88059701492537	false
the-wall-black.html:156 -	1000	36	2	41.96019900497512	34.67164179104477	false
the-wall-black.html:156 -	1000	37	2	34.67326732673264	24.257425742574267	false
the-wall-black.html:156 -	1000	38	2	73.16417910447764	62.30348258706467	false
the-wall-black.html:156 -	1000	39	2	8.049751243781092	39.08955223880596	false
the-wall-black.html:156 -	1000	40	2	110.46268656716421	25.72636815920397	false
the-wall-black.html:156 -	1000	41	2	45.165	46.394999999999996	false
the-wall-black.html:156 -	1000	42	2	124.61	27.439999999999987	false
the-wall-black.html:156 -	1000	43	2	18.139303482587067	3.6716417910447787	false
the-wall-black.html:156 -	1000	44	2	28.96517412935323	50.61194029850746	false
the-wall-black.html:156 -	1000	45	2	77.08457711442786	36.77611940298509	false
the-wall-black.html:156 -	1000	46	2	7.985074626865671	58.49253731343284	false
the-wall-black.html:156 -	1000	47	2	92.94527363184083	13.298507462686569	false
the-wall-black.html:156 -	1000	48	2	140.34	16.945	false
the-wall-black.html:156 -	1000	49	2	144.2487562189055	58.72139303482588	false
the-wall-black.html:156 -	1000	50	2	67.89054726368163	16.402985074626876	false
the-wall-black.html:156 -	1000	51	2	111.79601990049751	14.094527363184076	false
the-wall-black.html:156 -	1000	52	2	58.512437810945286	61.66666666666666	false
the-wall-black.html:156 -	1000	53	2	86.96999999999997	42.605	false
the-wall-black.html:156 -	1000	54	2	103.52736318407963	35.313432835820876	false
the-wall-black.html:156 -	1000	55	2	13.467661691542288	49.28358208955222	false
the-wall-black.html:156 -	1000	56	2	5.66169154228856	11.1592039800995	false
the-wall-black.html:156 -	1000	57	2	88.24378109452745	63.55223880597014	false
the-wall-black.html:156 -	1000	58	2	134.76999999999995	28.544999999999984	false
the-wall-black.html:156 -	1000	59	2	56.930348258706445	8.199004975124389	false
the-wall-black.html:156 -	1000	60	2	76.96517412935324	24.293532338308456	false
the-wall-black.html:156 -	1000	61	2	128.8109452736319	6.791044776119405	false
the-wall-black.html:156 -	1000	62	2	18.338308457711445	23.129353233830837	false
the-wall-black.html:156 -	1000	63	2	41.99499999999999	4.465	false
the-wall-black.html:156 -	1000	64	2	63.02970297029704	35.99009900990097	false
the-wall-black.html:156 -	1000	65	2	24.975124378109452	38.01990049751244	false
the-wall-black.html:156 -	1000	66	2	42.32500000000001	15.189999999999992	false
the-wall-black.html:156 -	1000	67	2	90.72636815920393	4.024875621890548	false
the-wall-black.html:156 -	1000	68	2	92.1592039800995	25.59701492537315	false
the-wall-black.html:156 -	1000	19	2	60.20398009950248	25.965174129353233	false
the-wall-black.html:156 -	1000	20	2	105.72636815920396	4.144278606965171	false
the-wall-black.html:156 -	1000	21	2	114.19402985074625	14.203980099502498	false
the-wall-black.html:156 -	1000	22	2	107.45049504950498	46.386138613861384	false
the-wall-black.html:156 -	1000	23	2	68.044776119403	57.626865671641795	false
the-wall-black.html:156 -	1000	24	2	52.044999999999995	5.635	false
the-wall-black.html:156 -	1000	25	2	57.223880597014904	43.910447761194035	false
the-wall-black.html:156 -	1000	26	2	126.30845771144271	6.726368159203985	false
the-wall-black.html:156 -	1000	27	2	4.756218905472636	15.601990049751233	false
the-wall-black.html:156 -	1000	28	2	101.97029702970293	20.103960396039607	false
the-wall-black.html:156 -	1000	29	2	125.41999999999996	24.254999999999995	false
the-wall-black.html:156 -	1000	30	2	141.39195979899492	27.512562814070357	false
the-wall-black.html:156 -	1000	31	2	141.0199004975124	64.07462686567165	false
the-wall-black.html:156 -	1000	32	2	44.81592039800996	32.14427860696516	false
the-wall-black.html:156 -	1000	33	2	7.492537313432833	45.199004975124396	false
the-wall-black.html:156 -	1000	34	2	74.53960396039598	17.341584158415852	false
the-wall-black.html:156 -	1000	35	2	136.13432835820902	54.43781094527363	false
the-wall-black.html:156 -	1000	36	2	82.15000000000002	63.440000000000026	false
the-wall-black.html:156 -	1000	37	2	96.0597014925373	62.238805970149265	false
the-wall-black.html:156 -	1000	38	2	35.2089552238806	39.56716417910447	false
the-wall-black.html:156 -	1000	39	2	51.845771144278615	64.92537313432837	false
the-wall-black.html:156 -	1000	40	2	93.5323383084577	35.323383084577095	false
the-wall-black.html:156 -	1000	41	2	17.900000000000002	6.030000000000003	false
the-wall-black.html:156 -	1000	42	2	141.56218905472628	45.25373134328357	false
the-wall-black.html:156 -	1000	43	2	75.91044776119404	32.71641791044778	false
the-wall-black.html:156 -	1000	44	2	35.59999999999999	50.394999999999996	false
the-wall-black.html:156 -	1000	45	2	57.34500000000001	75.77499999999999	true
the-wall-black.html:156 -	1000	46	2	48.184079601990064	17.940298507462696	false
the-wall-black.html:156 -	1000	47	2	91.91542288557211	6.094527363184084	false
the-wall-black.html:156 -	1000	48	2	145.63681592039813	15.119402985074625	false
the-wall-black.html:156 -	1000	49	2	63.54726368159205	9.601990049751244	false
the-wall-black.html:156 -	1000	50	2	111.93564356435645	30.846534653465348	false
the-wall-black.html:156 -	1000	51	2	66.7512437810945	38.86567164179107	false
the-wall-black.html:156 -	1000	52	2	10.16417910447761	56.05472636815918	false
the-wall-black.html:156 -	1000	53	2	52.000000000000014	53.17326732673269	false
the-wall-black.html:156 -	1000	54	2	79.99502487562192	9.054726368159203	false
the-wall-black.html:156 -	1000	55	2	21.373134328358216	28.83084577114427	false
the-wall-black.html:156 -	1000	56	2	94.02985074626864	47.72139303482587	false
the-wall-black.html:156 -	1000	57	2	136.47761194029846	9.74129353233831	false
the-wall-black.html:156 -	1000	58	2	13.695	37.489999999999995	false
the-wall-black.html:156 -	1000	59	2	89.84079601990048	24.019900497512435	false
the-wall-black.html:156 -	1000	60	2	21.8905472636816	14.238805970149249	false
the-wall-black.html:156 -	1000	61	2	120.46268656716418	43.07462686567165	false
the-wall-black.html:156 -	1000	62	2	6.592039800995022	17.13930348258706	false
the-wall-black.html:156 -	1000	63	2	81.15422885572134	49.46766169154226	false
the-wall-black.html:156 -	1000	64	2	36.462686567164184	7.407960199004975	false
the-wall-black.html:156 -	1000	65	2	33.6915422885572	23.4179104477612	false
the-wall-black.html:156 -	1000	66	2	132.18407960198996	36.05970149253728	false
the-wall-black.html:156 -	1000	67	2	110.50500000000001	62.074999999999996	false
the-wall-black.html:156 -	1000	68	2	121.24000000000002	58.29499999999998	false
the-wall-black.html:156 -	1000	19	2	7.3184079601990035	57.61194029850745	false
the-wall-black.html:156 -	1000	20	2	57.199004975124375	11.895522388059701	false
the-wall-black.html:156 -	1000	21	2	127.97014925373135	61.990049751243774	false
the-wall-black.html:156 -	1000	22	2	128.38308457711435	7.213930348258707	false
the-wall-black.html:156 -	1000	23	2	24.338308457711435	28.582089552238802	false
the-wall-black.html:156 -	1000	24	2	31.499999999999996	15.673267326732674	false
the-wall-black.html:156 -	1000	25	2	20.00990099009902	60.06930693069305	false
the-wall-black.html:156 -	1000	26	2	142.915422885572	40.084577114427866	false
the-wall-black.html:156 -	1000	27	2	16.64356435643565	11.574257425742575	false
the-wall-black.html:156 -	1000	28	2	71.3930348258706	9.502487562189053	false
the-wall-black.html:156 -	1000	29	2	42.8557213930348	52.71641791044778	false
the-wall-black.html:156 -	1000	30	2	115.16417910447763	38.88059701492537	false
the-wall-black.html:156 -	1000	31	2	11.767326732673268	37.21782178217818	false
the-wall-black.html:156 -	1000	32	2	37.64179104477611	33.86069651741292	false
the-wall-black.html:156 -	1000	33	2	136.86500000000004	47.294999999999995	false
the-wall-black.html:156 -	1000	34	2	126.91542288557213	30.890547263681597	false
the-wall-black.html:156 -	1000	35	2	100.87128712871285	49.30693069306931	false
the-wall-black.html:156 -	1000	36	2	44.77611940298506	19.970149253731357	false
the-wall-black.html:156 -	1000	37	2	92.4825870646766	56.820895522388064	false
the-wall-black.html:156 -	1000	38	2	64.47761194029854	23.179104477611926	false
the-wall-black.html:156 -	1000	39	2	116.99502487562192	9.159203980099495	false
the-wall-black.html:156 -	1000	40	2	90.76	3.09	false
the-wall-black.html:156 -	1000	41	2	21.75	44.389999999999986	false
the-wall-black.html:156 -	1000	42	2	34.445000000000014	4.665000000000002	false
the-wall-black.html:156 -	1000	43	2	132.78000000000003	21.51500000000001	false
the-wall-black.html:156 -	1000	44	2	31.323383084577127	49.726368159204	false
the-wall-black.html:156 -	1000	45	2	143.82587064676613	13.398009950248756	false
the-wall-black.html:156 -	1000	46	2	121.37000000000003	48.685000000000045	false
the-wall-black.html:156 -	1000	47	2	47.24000000000001	4.050000000000003	false
the-wall-black.html:156 -	1000	48	2	72.4726368159204	49.15422885572138	false
the-wall-black.html:156 -	1000	49	2	51.61691542288556	31.054726368159216	false
the-wall-black.html:156 -	1000	50	2	55.696517412935336	73.2587064676617	false
the-wall-black.html:156 -	1000	51	2	63.99004975124379	39.01492537313434	false
the-wall-black.html:156 -	1000	52	2	93.07960199004975	38.63184079601992	false
the-wall-black.html:156 -	1000	53	2	62.150000000000006	57.735	false
the-wall-black.html:156 -	1000	54	2	95.12437810945269	19.16915422885573	false
the-wall-black.html:156 -	1000	55	2	5.439999999999998	38.660000000000004	false
the-wall-black.html:156 -	1000	56	2	112.915	59.760000000000026	false
the-wall-black.html:156 -	1000	57	2	112.91044776119404	24.23383084577114	false
the-wall-black.html:156 -	1000	58	2	80.37313432835818	41.03482587064677	false
the-wall-black.html:156 -	1000	59	2	51.696517412935336	47.776119402985074	false
the-wall-black.html:156 -	1000	60	2	141.044776119403	60.044776119403004	false
the-wall-black.html:156 -	1000	61	2	6.099502487562187	22.781094527363187	false
the-wall-black.html:156 -	1000	62	2	142.1243781094527	14.213930348258707	false
the-wall-black.html:156 -	1000	63	2	6.273631840796017	7.094527363184081	false
the-wall-black.html:156 -	1000	64	2	104.72139303482594	11.597014925373138	false
the-wall-black.html:156 -	1000	65	2	99.34825870646766	30.781094527363187	false
the-wall-black.html:156 -	1000	66	2	68.98507462686561	78.45771144278605	true
the-wall-black.html:156 -	1000	67	2	84.82587064676619	11.472636815920396	false
the-wall-black.html:156 -	1000	68	2	78.93532338308461	26.90049751243781	false
the-wall-black.html:156 -	1000	19	2	139.41500000000005	50.315000000000005	false
the-wall-black.html:156 -	1000	20	2	112.7512437810945	52.72139303482584	false
the-wall-black.html:156 -	1000	21	2	141.5940594059406	37.361386138613845	false
the-wall-black.html:156 -	1000	22	2	28.049751243781095	24.84079601990048	false
the-wall-black.html:156 -	1000	23	2	26.490099009900987	42.26732673267325	false
the-wall-black.html:156 -	1000	24	2	97.87064676616919	28.3681592039801	false
the-wall-black.html:156 -	1000	25	2	73	50.12935323383085	false
the-wall-black.html:156 -	1000	26	2	89.88613861386142	18.732673267326742	false
the-wall-black.html:156 -	1000	27	2	118.02475247524755	38.19801980198021	false
the-wall-black.html:156 -	1000	28	2	105.76732673267327	5.772277227722774	false
the-wall-black.html:156 -	1000	29	2	13.517412935323383	7.631840796019903	false
the-wall-black.html:156 -	1000	30	2	127.53233830845772	61.64676616915424	false
the-wall-black.html:156 -	1000	31	2	94.99502487562185	78.08955223880594	true
the-wall-black.html:156 -	1000	32	2	53.108910891089096	16.920792079207928	false
the-wall-black.html:156 -	1000	33	2	96.60696517412929	62.517412935323385	false
the-wall-black.html:156 -	1000	34	2	65.24752475247521	8.732673267326732	false
the-wall-black.html:156 -	1000	35	2	79.10447761194031	11.109452736318406	false
the-wall-black.html:156 -	1000	36	2	126.47500000000005	45.144999999999975	false
the-wall-black.html:156 -	1000	37	2	107.93532338308464	14.915422885572138	false
the-wall-black.html:156 -	1000	38	2	143.24378109452732	60.74129353233831	false
the-wall-black.html:156 -	1000	39	2	84.00995024875625	74.61194029850745	false
the-wall-black.html:156 -	1000	40	2	139.37313432835836	8.223880597014919	false
the-wall-black.html:156 -	1000	41	2	133.12437810945264	27.766169154228866	false
the-wall-black.html:156 -	1000	42	2	52.14925373134325	39.48258706467661	false
the-wall-black.html:156 -	1000	43	2	25.422885572139304	7.676616915422885	false
the-wall-black.html:156 -	1000	44	2	94.87562189054731	50.308457711442784	false
the-wall-black.html:156 -	1000	45	2	10.492537313432843	22.930348258706477	false
the-wall-black.html:156 -	1000	46	2	101.88059701492534	39.870646766169166	false
the-wall-black.html:156 -	1000	47	2	9.575000000000003	42.129999999999995	false
the-wall-black.html:156 -	1000	48	2	74.1542288557214	75.73631840796017	true
the-wall-black.html:156 -	1000	49	2	7.671641791044776	53.24378109452739	false
the-wall-black.html:156 -	1000	50	2	42.30845771144277	24.05970149253731	false
the-wall-black.html:156 -	1000	51	2	136.66169154228862	10.029850746268655	false
the-wall-black.html:156 -	1000	52	2	121.3432835820895	12.338308457711447	false
the-wall-black.html:156 -	1000	53	2	49.2029702970297	3.504950495049506	false
the-wall-black.html:156 -	1000	54	2	13.155778894472355	60.73869346733665	false
the-wall-black.html:156 -	1000	55	2	38.44776119402987	11.059701492537318	false
the-wall-black.html:156 -	1000	56	2	69.80693069306935	37.57425742574259	false
the-wall-black.html:156 -	1000	57	2	87.32999999999994	3.7499999999999973	false
the-wall-black.html:156 -	1000	58	2	63.388059701492544	55.089552238805965	false
the-wall-black.html:156 -	1000	59	2	26.184079601990057	57.89054726368159	false
the-wall-black.html:156 -	1000	60	2	11.46766169154229	32.557213930348254	false
the-wall-black.html:156 -	1000	61	2	73.70646766169155	23.054726368159216	false
the-wall-black.html:156 -	1000	62	2	84.60696517412933	36.71144278606964	false
the-wall-black.html:156 -	1000	63	2	59.85999999999995	29.224999999999998	false
the-wall-black.html:156 -	1000	64	2	5.154228855721392	12.184079601990048	false
the-wall-black.html:156 -	1000	65	2	113.70646766169153	26.835820895522403	false
the-wall-black.html:156 -	1000	66	2	82.42786069651739	56.940298507462664	false
the-wall-black.html:156 -	1000	67	2	138.2736318407959	17.462686567164184	false
the-wall-black.html:156 -	1000	68	2	38.34825870646763	38.601990049751244	false
the-wall-black.html:156 -	1000	19	2	124.32338308457709	27.064676616915442	false
the-wall-black.html:156 -	1000	20	2	50.29353233830844	59.50248756218906	false
the-wall-black.html:156 -	1000	21	2	89.41293532338305	63.547263681592014	false
the-wall-black.html:156 -	1000	22	2	72.00000000000004	62.76000000000002	false
the-wall-black.html:156 -	1000	23	2	141.86567164179098	12.333333333333336	false
the-wall-black.html:156 -	1000	24	2	5.626865671641794	15.074626865671627	false
the-wall-black.html:156 -	1000	25	2	41.70646766169152	19.263681592039795	false
the-wall-black.html:156 -	1000	26	2	88.53233830845775	12.109452736318406	false
the-wall-black.html:156 -	1000	27	2	24.195000000000004	10.215000000000003	false
the-wall-black.html:156 -	1000	28	2	63.61691542288558	11.701492537313433	false
the-wall-black.html:156 -	1000	29	2	35.24875621890544	62.36815920398011	false
the-wall-black.html:156 -	1000	30	2	5.776119402985072	16.507462686567166	false
the-wall-black.html:156 -	1000	31	2	5.484999999999997	56.344999999999985	false
the-wall-black.html:156 -	1000	32	2	44.84079601990049	31.20398009950249	false
the-wall-black.html:156 -	1000	33	2	91.80099502487566	3.393034825870646	false
the-wall-black.html:156 -	1000	34	2	5.975124378109454	41.08955223880597	false
the-wall-black.html:156 -	1000	35	2	113.29353233830848	9.412935323383083	false
the-wall-black.html:156 -	1000	36	2	27.795	39.61500000000002	false
the-wall-black.html:156 -	1000	37	2	77.09452736318411	45.99999999999997	false
the-wall-black.html:156 -	1000	38	2	86.455	52.860000000000014	false
the-wall-black.html:156 -	1000	39	2	133.1039603960396	53.89603960396039	false
the-wall-black.html:156 -	1000	40	2	73.06467661691548	25.154228855721385	false
the-wall-black.html:156 -	1000	41	2	14.760000000000002	56.55000000000001	false
the-wall-black.html:156 -	1000	42	2	103.02487562189056	30.716417910447763	false
